symbol,name,sector
AAPL,Apple Inc.,Technology
ABNB,Airbnb,Consumer Discretionary
ADBE,Adobe Inc.,Technology
ADI,Analog Devices,Technology
ADP,Automatic Data Processing,Industrials
ADSK,Autodesk,Technology
AEP,American Electric Power,Utilities
ALAB,Astera Labs,Technology
ALNY,Alnylam Pharmaceuticals,Health Care
AMAT,Applied Materials,Technology
AMD,Advanced Micro Devices,Technology
AMGN,Amgen,Health Care
AMZN,Amazon,Consumer Discretionary
APP,AppLovin,Technology
ARM,Arm Holdings,Technology
ASML,ASML Holding,Technology
AVGO,Broadcom,Technology
AXON,Axon Enterprise,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BKR,Baker Hughes,Energy
CCEP,Coca-Cola Europacific Partners,Consumer Staples
CDNS,Cadence Design Systems,Technology
CEG,Constellation Energy,Utilities
CMCSA,Comcast,Telecommunications
COST,Costco,Consumer Discretionary
CPRT,Copart,Consumer Discretionary
CRWD,CrowdStrike,Technology
CRWV,CoreWeave,Technology
CSCO,Cisco,Telecommunications
CSX,CSX Corporation,Industrials
CTAS,Cintas,Industrials
DASH,DoorDash,Technology
DDOG,Datadog,Technology
DXCM,DexCom,Health Care
EA,Electronic Arts,Consumer Discretionary
EXC,Exelon,Utilities
FANG,Diamondback Energy,Energy
FAST,Fastenal,Industrials
FER,Ferrovial,Industrials
FTNT,Fortinet,Technology
GEHC,GE HealthCare,Health Care
GILD,Gilead Sciences,Health Care
GOOG,Alphabet Inc. (Class C),Technology
GOOGL,Alphabet Inc. (Class A),Technology
HON,Honeywell Technologies,Industrials
HONA,Honeywell Aerospace,Industrials
IDXX,Idexx Laboratories,Health Care
INTC,Intel,Technology
INTU,Intuit,Technology
ISRG,Intuitive Surgical,Health Care
KDP,Keurig Dr Pepper,Consumer Staples
KHC,Kraft Heinz,Consumer Staples
KLAC,KLA Corporation,Technology
LIN,Linde plc,Basic Materials
LITE,Lumentum,Technology
LRCX,Lam Research,Technology
MAR,Marriott International,Consumer Discretionary
MCHP,Microchip Technology,Technology
MDLZ,Mondelez International,Consumer Staples
MELI,Mercado Libre,Consumer Discretionary
META,Meta Platforms,Technology
MNST,Monster Beverage,Consumer Staples
MPWR,Monolithic Power Systems,Technology
MRVL,Marvell Technology,Technology
MSFT,Microsoft,Technology
MSTR,MicroStrategy,Technology
MU,Micron Technology,Technology
NBIS,Nebius Group,Technology
NFLX,"Netflix, Inc.",Consumer Discretionary
NVDA,Nvidia,Technology
NXPI,NXP Semiconductors,Technology
ODFL,Old Dominion Freight Line,Industrials
ORLY,O'Reilly Automotive,Consumer Discretionary
PANW,Palo Alto Networks,Technology
PAYX,Paychex,Industrials
PCAR,Paccar,Consumer Discretionary
PDD,PDD Holdings,Technology
PEP,PepsiCo,Consumer Staples
PLTR,Palantir Technologies,Technology
PYPL,PayPal,Industrials
QCOM,Qualcomm,Technology
REGN,Regeneron Pharmaceuticals,Health Care
RKLB,Rocket Lab,Industrials
ROP,Roper Technologies,Technology
ROST,Ross Stores,Consumer Discretionary
SBUX,Starbucks,Consumer Discretionary
SHOP,Shopify,Technology
SNDK,Sandisk,Technology
SNPS,Synopsys,Technology
SPCX,SpaceX,Telecommunications
STX,Seagate Technology,Technology
TER,Teradyne,Technology
TMUS,T-Mobile US,Telecommunications
TRI,Thomson Reuters,Technology
TSLA,"Tesla, Inc.",Consumer Discretionary
TTWO,Take-Two Interactive,Consumer Discretionary
TXN,Texas Instruments,Technology
VRTX,Vertex Pharmaceuticals,Health Care
WBD,Warner Bros. Discovery,Consumer Discretionary
WDAY,"Workday, Inc.",Technology
WDC,Western Digital,Technology
WMT,Walmart,Consumer Discretionary
XEL,Xcel Energy,Utilities
